Municipalidad,UxP,Juntos,LLA,UCR Evolución,PRO,Partido Socialista,UCR,Justicialismo no UXP,"Unión, Renovación y Fé",LLA Disidente,Vecinalismo,PRO PB,UCR Disidente,GEN,UxP Disidente,FIT,Unión Liberal,PRO Disidente,Unión por Todos,CC ARI,Juntos Disidente,Cambio Federal,SN,MID
General San Martín,13,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
General Viamonte,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Villegas,5,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Guaminí,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hipólito Yrigoyen,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hurlingham,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ituzaingó,9,6,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
José C. Paz,13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Junín,8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Costa,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Matanza,13,3,3,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
La Plata,10,6,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Lanús,10,9,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Laprida,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Flores,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro N. Alem,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lezama,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,4,0,2,0,3,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Lobería,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lobos,6,7,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lomas de Zamora,14,0,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Luján,10,0,1,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Magdalena,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maipú,5,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malvinas Argentinas,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar Chiquita,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Paz,10,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mercedes,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merlo,11,4,2,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
Monte,4,0,1,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Monte Hermoso,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Moreno,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Morón,4,4,1,0,2,0,2,0,0,2,0,3,0,0,6,0,0,0,0,0,0,0,0,0
Navarro,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Necochea,4,0,2,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Nueve de Julio,5,0,2,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Olavarría,8,6,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagones,6,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pehuajó,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pellegrini,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pergamino,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pila,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilar,14,0,1,0,1,0,0,1,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0
Pinamar,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidente Perón,10,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puan,4,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punta Indio,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quilmes,13,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ramallo,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rauch,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivadavia,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rojas,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roque Pérez,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saavedra,3,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Saladillo,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salliqueló,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salto,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Andrés de Giles,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Antonio de Areco,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Cayetano,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Fernando,12,2,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Isidro,6,0,1,0,2,0,0,0,0,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0
San Miguel,8,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
San Nicolás,6,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Pedro,9,1,1,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
San Vicente,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Suipacha,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tandil,6,0,0,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1
Tapalqué,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigre,11,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tordillo,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tornquist,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenque Lauquen,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tres Arroyos,6,7,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Tres de Febrero,9,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tres Lomas,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 de mayo,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente López,6,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa Gesell,8,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Villarino,3,6,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Zárate,6,10,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
suma,953,678,175,26,63,1,81,15,8,25,95,12,3,1,18,10,1,10,0,6,8,3,1,1
